,id,full_name,email,password_hash,display_name,role_id,date_of_birth,sex,height_cm,weight_kg,metadata,created_at,updated_at,deleted_at
0,35,juan,daniel@gmail.com,hash3,Daniel García,3,2003-09-29,Femenino,92,129,{},1999-05-23,1991-11-17,2018-02-08
1,153,daniel,fernando@gmail.com,hash1,Juan Pérez,2,1993-06-11,Femenino,58,96,{},1994-07-17,1997-05-13,2012-04-01
2,104,daniel,fernando@gmail.com,hash3,Daniel García,1,1999-03-06,Femenino,120,50,{},2011-02-11,1991-11-21,2005-02-05
3,142,juan,juan@gmail.com,hash3,Juan Pérez,3,2005-06-23,Femenino,100,30,{},2015-10-14,1994-08-23,2014-11-02
4,138,juan,juan@gmail.com,hash2,Juan Pérez,1,2013-01-19,Masculino,246,120,{},2010-04-13,1990-12-16,2014-07-16
5,75,juan,juan@gmail.com,hash1,Fernando López,3,2015-10-18,Masculino,117,179,{},2001-05-23,2009-05-02,2016-01-30
6,41,daniel,juan@gmail.com,hash3,Juan Pérez,3,2017-01-04,Masculino,123,144,{},2019-05-25,2015-05-03,2005-11-25
7,69,juan,fernando@gmail.com,hash2,Juan Pérez,2,2015-11-19,Masculino,78,89,{},1994-09-17,1991-02-12,2004-08-12
8,18,juan,fernando@gmail.com,hash1,Juan Pérez,3,2013-05-22,Femenino,118,122,{},2011-06-02,1996-03-29,1996-09-13
9,117,fernando,fernando@gmail.com,hash3,Daniel García,1,1991-05-02,Masculino,51,118,{},1994-03-03,2013-03-28,2001-07-07
10,53,daniel,juan@gmail.com,hash2,Juan Pérez,2,1990-06-13,Masculino,212,190,{},2009-10-21,1994-05-29,2014-04-28
11,60,fernando,daniel@gmail.com,hash1,Fernando López,1,2006-04-09,Masculino,71,54,{},1995-10-15,2014-08-28,2008-07-28
12,58,juan,juan@gmail.com,hash2,Daniel García,3,2018-03-01,Femenino,64,133,{},2005-09-15,2016-05-22,2009-05-05
13,200,fernando,fernando@gmail.com,hash2,Juan Pérez,1,2001-04-01,Femenino,57,92,{},1994-10-22,2002-07-06,2005-07-22
14,132,juan,juan@gmail.com,hash2,Fernando López,2,2011-05-25,Masculino,162,170,{},2017-12-23,2005-06-05,2008-12-19
15,136,juan,daniel@gmail.com,hash1,Juan Pérez,2,1993-07-20,Femenino,37,188,{},1999-03-14,1998-07-22,2004-08-31
16,21,daniel,fernando@gmail.com,hash2,Daniel García,1,2001-11-28,Femenino,128,117,{},2018-11-12,2007-10-17,2015-07-25
17,82,fernando,daniel@gmail.com,hash2,Juan Pérez,3,1998-12-25,Masculino,171,192,{},1993-06-28,1990-04-20,1991-10-01
18,161,fernando,juan@gmail.com,hash1,Fernando López,2,2004-07-03,Masculino,22,141,{},2014-07-12,1999-09-20,1995-10-26
19,166,juan,juan@gmail.com,hash3,Juan Pérez,3,2004-08-21,Masculino,14,30,{},1997-05-27,2005-01-06,2006-08-31
20,139,daniel,juan@gmail.com,hash1,Fernando López,3,1992-04-13,Femenino,58,75,{},2017-01-17,2002-10-08,2019-06-10
21,193,fernando,daniel@gmail.com,hash3,Fernando López,1,2011-06-27,Masculino,124,30,{},2006-08-20,2013-08-15,2011-12-05
22,20,juan,daniel@gmail.com,hash1,Fernando López,2,2016-02-23,Masculino,196,55,{},1990-06-24,1997-06-01,1998-11-03
23,7,daniel,juan@gmail.com,hash3,Juan Pérez,2,1998-03-21,Femenino,39,95,{},2006-04-11,2019-05-07,1996-02-20
24,91,fernando,fernando@gmail.com,hash2,Daniel García,2,2012-03-11,Masculino,189,103,{},2006-10-17,2010-02-09,2010-03-05
25,169,fernando,daniel@gmail.com,hash1,Fernando López,2,1997-11-23,Femenino,150,74,{},2018-07-10,2012-07-22,1995-03-01
26,52,fernando,juan@gmail.com,hash1,Fernando López,3,1993-12-03,Masculino,141,151,{},1993-02-19,1997-10-25,2009-07-03
27,107,fernando,juan@gmail.com,hash2,Juan Pérez,3,1995-05-08,Femenino,127,80,{},2014-05-07,2003-01-13,2015-03-27
28,62,juan,fernando@gmail.com,hash2,Fernando López,2,2006-01-06,Femenino,233,133,{},2007-12-25,2014-01-20,1991-06-08
29,119,juan,juan@gmail.com,hash3,Fernando López,1,2001-07-15,Femenino,38,148,{},2008-10-22,2016-04-05,1999-08-28
30,142,juan,juan@gmail.com,hash3,Daniel García,2,1993-02-15,Masculino,216,21,{},2015-06-28,2013-03-09,1998-01-02
31,74,juan,fernando@gmail.com,hash2,Fernando López,1,2011-07-09,Masculino,111,48,{},2012-09-16,2002-08-26,2018-01-18
32,145,fernando,juan@gmail.com,hash2,Juan Pérez,1,1990-06-14,Femenino,146,92,{},2002-01-04,2002-10-16,2016-04-08
33,5,juan,daniel@gmail.com,hash3,Daniel García,2,1998-04-04,Masculino,44,161,{},2009-12-13,2003-04-27,1996-04-22
34,122,daniel,fernando@gmail.com,hash3,Fernando López,2,1998-04-28,Masculino,127,163,{},1998-09-12,1997-09-04,2000-10-09
35,4,daniel,daniel@gmail.com,hash1,Juan Pérez,1,2012-07-30,Femenino,178,140,{},1995-02-03,1991-07-15,2016-02-13
36,153,daniel,juan@gmail.com,hash3,Juan Pérez,2,2006-01-24,Femenino,42,80,{},1992-11-16,2007-08-04,2015-02-07
37,116,daniel,juan@gmail.com,hash1,Daniel García,2,1997-01-02,Masculino,129,141,{},1992-12-15,2003-04-09,2016-10-14
38,51,daniel,daniel@gmail.com,hash2,Fernando López,2,1990-11-18,Femenino,227,22,{},2000-04-27,2019-08-30,2007-10-25
39,14,daniel,daniel@gmail.com,hash2,Daniel García,1,2014-04-27,Masculino,209,114,{},2005-03-11,1997-09-05,2014-11-18
40,196,daniel,juan@gmail.com,hash1,Fernando López,1,1993-02-19,Femenino,146,79,{},2011-10-22,1993-10-24,2003-06-15
41,74,fernando,juan@gmail.com,hash1,Juan Pérez,3,2000-08-17,Femenino,186,46,{},1997-10-12,2017-10-02,1999-06-26
42,47,fernando,juan@gmail.com,hash2,Juan Pérez,3,2010-11-06,Femenino,149,45,{},2016-10-05,2004-05-09,2003-03-16
43,5,fernando,juan@gmail.com,hash3,Fernando López,2,1996-03-29,Masculino,91,112,{},1997-07-28,2017-10-15,2016-04-03
44,53,fernando,daniel@gmail.com,hash3,Daniel García,3,2001-12-22,Masculino,133,29,{},2000-04-14,2006-02-07,2004-06-12
45,25,daniel,fernando@gmail.com,hash3,Daniel García,3,2003-11-17,Femenino,112,27,{},2009-07-26,2011-12-21,2016-02-09
46,188,juan,daniel@gmail.com,hash1,Fernando López,2,1993-02-11,Masculino,60,47,{},2010-02-03,2012-07-11,2009-11-07
47,177,daniel,juan@gmail.com,hash1,Fernando López,1,2012-07-28,Masculino,212,57,{},2017-04-15,1991-08-22,2012-10-16
48,66,fernando,fernando@gmail.com,hash1,Daniel García,3,2017-01-08,Femenino,128,146,{},1995-09-01,1998-08-15,1992-05-19
49,180,juan,juan@gmail.com,hash2,Fernando López,2,2015-10-03,Masculino,14,0,{},1995-05-09,2008-12-04,2014-05-18
50,108,daniel,daniel@gmail.com,hash3,Fernando López,1,1993-07-07,Femenino,88,195,{},2013-05-17,2000-04-14,2009-12-20
51,146,fernando,daniel@gmail.com,hash1,Daniel García,1,1994-04-01,Masculino,55,186,{},1999-05-04,2013-05-24,2017-07-30
52,107,juan,fernando@gmail.com,hash1,Daniel García,1,2011-07-09,Femenino,49,116,{},2004-09-23,2005-06-08,2004-12-10
53,35,daniel,juan@gmail.com,hash1,Daniel García,3,2006-02-05,Femenino,214,88,{},1991-08-01,2002-12-10,2015-05-26
54,61,fernando,daniel@gmail.com,hash2,Juan Pérez,1,1991-12-13,Femenino,72,85,{},2000-04-22,2019-11-28,1998-11-16
55,154,daniel,daniel@gmail.com,hash2,Fernando López,2,2017-03-20,Masculino,27,63,{},2012-10-04,2011-12-22,2014-08-21
56,107,daniel,juan@gmail.com,hash3,Juan Pérez,3,2010-01-01,Femenino,153,81,{},2005-11-08,2011-04-02,2002-06-25
57,45,juan,daniel@gmail.com,hash1,Fernando López,3,2001-09-09,Masculino,156,181,{},1995-08-14,1990-08-26,2010-10-16
58,71,fernando,fernando@gmail.com,hash1,Daniel García,3,2002-09-17,Masculino,225,68,{},1996-06-03,2018-01-06,1992-07-21
59,79,fernando,juan@gmail.com,hash1,Juan Pérez,2,1999-07-27,Femenino,234,47,{},2005-01-29,2018-09-28,1994-04-26
60,194,daniel,juan@gmail.com,hash1,Fernando López,1,2006-09-13,Masculino,68,167,{},2005-12-21,2018-05-20,2013-03-02
61,72,juan,fernando@gmail.com,hash3,Juan Pérez,3,1997-02-26,Masculino,207,56,{},2016-06-09,2015-09-09,2014-05-29
62,108,juan,juan@gmail.com,hash2,Juan Pérez,2,2006-03-09,Masculino,183,190,{},1996-05-23,2002-02-10,1995-06-30
63,113,fernando,fernando@gmail.com,hash1,Fernando López,2,2000-06-17,Femenino,18,22,{},2001-04-03,2012-07-04,2016-06-09
64,159,juan,juan@gmail.com,hash2,Juan Pérez,2,2012-04-01,Masculino,88,190,{},2019-03-17,2017-03-22,2002-05-19
65,10,daniel,daniel@gmail.com,hash2,Fernando López,2,2012-05-11,Femenino,112,129,{},1998-10-31,2009-04-15,2019-09-20
66,12,fernando,fernando@gmail.com,hash3,Daniel García,3,2011-02-25,Masculino,84,35,{},2010-07-10,2014-11-12,1996-01-10
67,47,fernando,daniel@gmail.com,hash1,Fernando López,3,2009-03-20,Femenino,34,67,{},2019-02-18,1998-11-04,2010-12-15
68,48,daniel,juan@gmail.com,hash3,Juan Pérez,1,1995-08-14,Masculino,179,70,{},2006-06-11,2013-02-07,1993-01-14
69,45,daniel,fernando@gmail.com,hash2,Juan Pérez,1,2018-08-05,Masculino,98,36,{},2006-11-20,1991-05-28,2016-11-09
70,37,juan,fernando@gmail.com,hash3,Daniel García,1,2000-11-16,Femenino,72,84,{},1994-02-24,2019-06-14,1994-02-05
71,136,fernando,daniel@gmail.com,hash1,Juan Pérez,2,2013-01-09,Masculino,111,92,{},1999-01-13,2015-05-10,1990-10-22
72,22,daniel,juan@gmail.com,hash1,Daniel García,3,1999-05-10,Masculino,238,102,{},1997-08-30,1990-10-27,2015-07-20
73,49,juan,juan@gmail.com,hash2,Fernando López,1,1996-12-14,Femenino,184,170,{},2008-12-15,2016-06-22,1998-07-01
74,175,fernando,daniel@gmail.com,hash3,Juan Pérez,1,2012-08-08,Masculino,183,71,{},2001-01-14,2008-03-18,2005-03-24
75,89,daniel,juan@gmail.com,hash2,Fernando López,3,2009-05-09,Femenino,192,124,{},1997-05-15,2017-04-17,2011-03-16
76,85,juan,daniel@gmail.com,hash2,Juan Pérez,1,2006-07-19,Femenino,205,173,{},2001-09-01,2006-11-23,1995-05-29
77,23,daniel,fernando@gmail.com,hash2,Juan Pérez,2,2019-03-05,Femenino,17,8,{},1998-04-22,2010-02-25,2000-04-12
78,5,fernando,fernando@gmail.com,hash2,Juan Pérez,2,2017-12-19,Masculino,19,152,{},1991-09-27,1998-08-05,1997-11-18
79,98,juan,fernando@gmail.com,hash3,Daniel García,3,2018-05-21,Masculino,114,181,{},2015-04-07,2006-12-15,2012-05-22
80,88,daniel,juan@gmail.com,hash1,Juan Pérez,2,2017-04-24,Femenino,182,3,{},1991-08-29,2015-11-15,1991-03-24
81,33,juan,juan@gmail.com,hash3,Daniel García,3,2018-12-15,Femenino,158,33,{},2005-06-10,2018-06-17,2000-04-06
82,10,fernando,juan@gmail.com,hash3,Daniel García,1,2004-07-19,Femenino,191,120,{},2000-10-19,2008-09-14,2013-04-05
83,189,fernando,daniel@gmail.com,hash1,Daniel García,3,2012-01-16,Femenino,58,2,{},1995-12-12,2004-02-14,1998-03-02
84,120,fernando,juan@gmail.com,hash3,Fernando López,2,1996-01-20,Femenino,13,67,{},2010-04-28,2000-01-23,2011-08-16
85,61,daniel,fernando@gmail.com,hash3,Daniel García,2,1997-03-30,Masculino,86,111,{},2007-10-22,2017-05-27,2007-07-21
86,7,daniel,fernando@gmail.com,hash3,Fernando López,2,2014-12-22,Masculino,44,145,{},1998-04-19,2014-09-22,1990-02-05
87,59,daniel,juan@gmail.com,hash3,Juan Pérez,2,2016-10-12,Masculino,13,101,{},2000-02-08,2013-06-22,2010-10-23
