,id,full_name,email,password_hash,display_name,role_id,date_of_birth,sex,height_cm,weight_kg,metadata,created_at,updated_at,deleted_at
0,130,fernando,fernando@gmail.com,hash1,Fernando López,3,2005-08-29,Masculino,54,163,{},1992-12-21,1994-12-27,1994-04-09
1,77,fernando,juan@gmail.com,hash1,Fernando López,3,2008-06-27,Femenino,233,4,{},2017-01-04,2008-05-30,2005-02-23
2,185,daniel,fernando@gmail.com,hash2,Juan Pérez,3,2018-04-25,Masculino,219,126,{},2010-06-29,2019-04-24,2012-05-04
3,36,daniel,daniel@gmail.com,hash1,Fernando López,3,2019-02-26,Masculino,247,43,{},2010-07-13,1999-01-07,2003-12-18
4,116,juan,juan@gmail.com,hash2,Juan Pérez,3,2011-06-17,Femenino,214,113,{},2013-01-19,1994-11-09,2019-01-02
5,89,fernando,juan@gmail.com,hash1,Fernando López,3,1999-07-12,Masculino,63,60,{},2017-07-19,2006-01-20,1995-08-05
6,131,fernando,fernando@gmail.com,hash3,Daniel García,2,2004-12-24,Masculino,132,45,{},1992-10-15,1991-09-11,1996-06-13
7,134,daniel,fernando@gmail.com,hash3,Fernando López,3,1990-04-18,Femenino,18,165,{},2017-12-12,1998-05-31,2003-06-27
8,7,daniel,daniel@gmail.com,hash1,Juan Pérez,3,2007-10-21,Femenino,87,25,{},1998-08-23,2014-07-28,2002-10-03
9,33,fernando,daniel@gmail.com,hash1,Daniel García,2,1991-09-03,Femenino,113,147,{},1992-01-28,2016-01-11,1995-11-17
10,182,daniel,juan@gmail.com,hash3,Fernando López,3,2007-05-14,Masculino,224,64,{},2017-03-01,1992-11-06,1995-02-24
11,5,fernando,daniel@gmail.com,hash2,Daniel García,3,2019-06-25,Masculino,85,185,{},1996-09-23,1991-10-27,2001-10-30
12,157,fernando,daniel@gmail.com,hash3,Juan Pérez,1,2014-05-26,Femenino,127,27,{},2014-11-29,2000-09-22,2014-04-14
13,44,daniel,daniel@gmail.com,hash3,Fernando López,3,2005-12-16,Femenino,59,14,{},2007-05-09,2005-09-29,2001-10-19
14,160,juan,daniel@gmail.com,hash1,Juan Pérez,3,2007-01-04,Masculino,51,138,{},2015-02-28,2011-03-02,2011-05-31
15,106,fernando,juan@gmail.com,hash1,Juan Pérez,2,1992-06-16,Femenino,83,167,{},2018-01-03,1991-03-31,2018-06-09
16,44,fernando,juan@gmail.com,hash1,Fernando López,1,2008-11-09,Masculino,172,175,{},2017-08-06,1995-09-04,2000-03-17
17,151,juan,juan@gmail.com,hash2,Juan Pérez,3,2005-10-27,Masculino,144,25,{},2012-10-25,2002-06-17,2011-02-14
18,66,juan,fernando@gmail.com,hash2,Fernando López,2,2017-06-03,Femenino,140,119,{},2010-01-30,1992-05-28,1990-04-12
19,172,daniel,fernando@gmail.com,hash2,Fernando López,2,2008-12-11,Femenino,151,135,{},2006-11-21,2006-08-26,2017-11-10
20,185,daniel,juan@gmail.com,hash1,Juan Pérez,3,2002-08-06,Masculino,197,109,{},2003-03-18,1993-01-01,1994-12-03
21,57,daniel,daniel@gmail.com,hash1,Fernando López,3,1996-08-28,Masculino,201,1,{},1999-02-05,2019-02-04,1992-12-14
22,4,daniel,juan@gmail.com,hash1,Juan Pérez,1,2007-09-16,Masculino,125,65,{},1993-01-03,2016-11-08,1999-06-23
23,78,daniel,fernando@gmail.com,hash3,Fernando López,1,2006-08-26,Masculino,84,82,{},2001-10-05,2003-04-26,2019-06-22
24,17,fernando,fernando@gmail.com,hash1,Juan Pérez,1,1992-07-02,Femenino,188,121,{},1997-12-28,2007-09-27,2012-12-04
25,9,fernando,daniel@gmail.com,hash1,Fernando López,3,2001-06-17,Femenino,73,44,{},1994-08-12,2004-02-11,2016-04-26
26,195,daniel,juan@gmail.com,hash1,Juan Pérez,2,2009-11-25,Masculino,242,198,{},1993-07-11,2011-01-22,1993-11-25
27,121,juan,daniel@gmail.com,hash3,Fernando López,2,2014-05-10,Masculino,30,51,{},1997-03-27,1992-11-09,2010-08-08
